,lon,lat,Node,mean,std
8410140,-66.982315,44.9033,1034613,-0.013010755889173165,0.41908191059803823
8413320,-68.203,44.393,1162475,-0.013487871619689536,0.2669567809738859
8418150,-70.245674,43.6567,1176249,-0.015192474428597951,0.2815595130713986
8419317,-70.56331,43.32,1182888,-0.025182854292868997,0.30058602845031573
8443970,-71.03838,42.35392,991751,-0.0777425369801991,0.2926861489914476
8447930,-70.6717,41.5233,1268115,-0.10824174657615244,0.05927659510332369
8449130,-70.091286,41.285,1411509,,
8461490,-72.0867,41.355,1052139,-0.13508857199266158,0.11775694432070119
8465705,-72.9125,41.2833,824413,-0.15775370262165525,0.18306381311211462
8467150,-73.1817,41.1733,730946,-0.17673172836039383,0.19402268967751474
8510560,-71.965,41.048,1395009,-0.18333455266295873,0.05014270393893167
8516945,-73.767883,40.81031,950489,-0.22208642799889214,0.2524661847264529
8518750,-74.0142,40.699296000000004,1266674,-0.19976685465110214,0.12737350867650546
8531680,-74.01,40.4667,1449501,-0.23434553796581795,0.12547873114534921
8534720,-74.418,39.354,1562085,-0.24546608317823518,0.07100937157509939
8536110,-74.96365899999999,38.969112,1546015,,
8557380,-75.11916,38.785756,1540535,-0.25781457548463776,0.12818420580061976
8570283,-75.09167,38.32833,1579004,-0.20984521825946,0.22294629250047768
8635750,-76.46444,37.996109999999994,1753697,-0.292306574505363,0.05349386286045626
8638901,-76.083333,37.033333,1667208,-0.32655052992458583,0.036641621369725125
8651370,-75.74667,36.18333,1592136,-0.291041541943795,0.072623524230097
8656483,-76.671,34.72,1416194,-0.260893411325377,0.054822010065947016
8658163,-77.784973,34.21331,1405214,-0.3279691682335969,0.1189051748363736
8661070,-78.916384,33.655,1350289,-0.18112407173153916,0.1298939246168373
8665530,-79.922178,32.7817,1236589,-0.2805602765298347,0.2369038897425711
8670870,-80.9017,32.034612,1165583,-0.22069258223810403,0.21717948374955873
8720030,-81.466768,30.6717,1152522,-0.19795598707155956,0.22428932677805835
8720218,-81.43,30.3967,1212537,-0.08448886335013976,0.11470085423877219
8721604,-80.59352700000001,28.41583,1251971,-0.30443131880661306,0.06533868653195855
8722670,-80.03416999999999,26.612779999999997,1302999,-0.2641433663951552,0.05463515482798737
8723214,-80.159,25.731154999999998,1160390,-0.17756513630324097,0.09497665557458337
8723970,-81.105,24.7138,843056,-0.17859945564151605,0.07000635128536695
8724580,-81.817,24.549,805177,-0.20052674092809916,0.06840344763781236
8725110,-81.8106,26.13167,677402,-0.18087802644639198,0.11525836211190635
8726724,-82.833,27.9783,642196,-0.15432762107325998,0.08206649307749116
8727520,-83.03089,29.1306,594808,-0.06580371630395525,0.10187334014294766
8729210,-85.88,30.211,549873,-0.22892463277565364,0.06080983474522105
8729840,-87.212,30.4015,506871,-0.39611686175918914,0.05272154402330571
8735180,-88.0732,30.25,551721,-0.42462060854322153,0.053351813039416274
8747437,-89.3241,30.326390000000004,310024,-0.43795502701686034,0.07404614844611011
8760721,-89.25831,29.178309999999996,598673,-0.24473855090491073,0.03244294578342992
8761305,-89.67898100000001,29.870579,296041,-0.6452219881388069,0.08210500239387081
8761724,-89.94894000000001,29.26333,593088,-0.3340823984386825,0.07437513171165172
8764314,-91.3839,29.3675,580635,-0.42653207204346794,0.09024893574709822
8766072,-92.305,29.555,554724,,
8768094,-93.34289,29.76817,518411,-0.4616069675088434,0.0771480048561015
8770822,-93.83978,29.68833,493081,-0.4413340503838851,0.07490553057563094
8772471,-95.295,28.935,449717,-0.45033994321394094,0.08000857146038938
8773767,-96.3301,28.4269,435844,-0.5305394920330389,0.06993365664296863
8775241,-97.03833,27.83667,435338,-0.5388907936597656,0.08783235914383139
8775870,-97.2167,27.58,435421,-0.5642179049820591,0.11935464025709121
8779748,-97.166667,26.071667,476631,-0.4073337079188703,0.08474182973746541
